	city	cloudiness	country	date	humidity	lat	lng	temp_max	wind speed
297	Puerto Ayora	80	EC	1504946090	100	-0.74	-90.35	67.41	11.68
298	Tripoli	40	LY	1504943400	61	32.88	13.19	82.4	6.93
299	Saldanha	0	ZA	1504944000	67	-33.01	17.94	62.6	12.75
300	Atasu	56	KZ	1504946159	39	48.68	71.64	74.07	15.26
301	Victoria	75	CA	1504944000	48	48.43	-123.37	62.6	8.05
302	Tezu	68	IN	1504946159	82	27.92	96.17	72.36	1.16
303	Cayenne	90	GF	1504944000	94	4.93	-52.33	73.4	1.12
304	Torbay	90	CA	1504944000	100	47.67	-52.73	60.8	9.17
305	Kodiak	1	US	1504943580	76	57.79	-152.41	51.8	9.17
306	Arraial do Cabo	0	BR	1504946106	93	-22.97	-42.03	68.58	19.51
307	Corner Brook	75	CA	1504944000	100	48.97	-57.95	55.4	4.29
308	Vaini	75	TO	1504944000	94	-21.2	-175.2	71.6	6.98
309	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
310	Kapaa	75	US	1504943760	74	22.08	-159.32	80.6	12.75
311	Cape Town	20	ZA	1504944000	63	-33.93	18.42	62.6	17.22
312	Cape Town	20	ZA	1504944000	63	-33.93	18.42	62.6	17.22
313	Tshabong	0	BW	1504946161	14	-26.05	22.45	91.8	13.69
314	Bocas del Toro	64	PA	1504946162	100	9.33	-82.25	80.46	6.64
315	Jamestown	90	US	1504944720	100	42.1	-79.24	51.8	2.84
316	Santo Tomas	75	PH	1504944000	66	14.11	121.14	91.4	6.93
317	Krasnyy Bor	0	RU	1504944000	77	59.68	30.67	59.0	8.95
318	Bethel	1	US	1504943760	93	41.37	-73.41	55.4	5.75
319	Kruisfontein	0	ZA	1504946117	75	-34.0	24.73	65.34	3.4
320	Hobart	20	AU	1504944000	53	-42.88	147.33	51.8	12.75
321	Albany	1	US	1504943640	93	42.65	-73.76	53.6	5.82
322	Araouane	0	ML	1504946163	35	18.9	-3.53	91.71	6.64
323	Mahebourg	75	MU	1504944000	73	-20.41	57.7	75.2	18.34
324	Goderich	8	CA	1504946164	88	43.75	-81.72	42.93	5.19
325	Ribeira Grande	40	PT	1504944000	73	38.52	-28.7	69.8	8.05
326	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
327	Namibe	80	AO	1504946153	96	-15.2	12.15	68.76	11.34
328	Barenburg	92	DE	1504945200	100	52.62	8.8	59.0	10.29
